model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
full_minus_age,1,13,12,20.142075303134913,1.6785062752612427,0.06993006993006994,0.09090909090909091,0,1
full_minus_age,1,21,13,21.738673823159445,1.6722056787045727,0.25824175824175827,0.20512820512820512,1,1
full_minus_age,1,27,13,22.895623021344612,1.7612017708726624,-0.13186813186813187,-0.07692307692307693,0,0
full_minus_age,2,1,6,6.484974412037204,1.0808290686728672,0.4857142857142857,0.3333333333333333,0,1
full_minus_age,2,9,16,30.019100806654592,1.876193800415912,0.35882352941176465,0.19999999999999998,0,0
full_minus_age,2,14,12,19.635358736787374,1.6362798947322812,0.31468531468531474,0.15151515151515152,0,1
full_minus_age,2,20,12,18.932600399682666,1.5777166999735555,0.5804195804195805,0.42424242424242425,0,1
full_minus_age,2,24,12,19.097854809307822,1.591487900775652,0.45454545454545464,0.36363636363636365,0,1
full_minus_age,2,30,15,27.332174541771796,1.822144969451453,0.32499999999999996,0.2571428571428572,0,1
full_minus_age,2,34,14,24.81660541353356,1.7726146723952543,0.4532455988009745,0.2651974176527183,0,1
full_minus_age,3,2,10,16.010411046815697,1.6010411046815698,-0.5151515151515151,-0.37777777777777777,0,0
full_minus_age,3,10,11,17.89259803730566,1.6265998215732418,0.018181818181818184,0.01818181818181818,1,1
full_minus_age,3,15,13,21.785071685300817,1.6757747450231397,0.33516483516483514,0.23076923076923078,0,1
full_minus_age,3,17,12,20.128003442264294,1.6773336201886913,0.2377622377622378,0.18181818181818182,1,1
full_minus_age,3,18,12,20.051813762859943,1.6709844802383287,0.2587412587412588,0.21212121212121213,0,1
full_minus_age,3,26,10,14.633364095073324,1.4633364095073325,0.5515151515151514,0.3333333333333333,0,1
full_minus_age,3,31,16,31.215428154180913,1.950964259636307,-0.1323529411764706,-0.11666666666666665,0,1
full_minus_age,4,5,12,19.338783142777288,1.6115652618981073,0.3216783216783217,0.24242424242424243,0,1
full_minus_age,4,6,12,20.597947370338296,1.716495614194858,0.09090909090909093,0.030303030303030304,0,1
full_minus_age,4,12,11,19.461438278793537,1.7692216617085033,0.17272727272727273,0.16363636363636364,0,1
full_minus_age,4,19,13,24.396051834750583,1.876619371903891,-0.08241758241758242,-0.07692307692307693,0,1
full_minus_age,4,25,13,21.84571214378592,1.68043939567584,0.5054945054945056,0.38461538461538464,0,0
full_minus_age,4,28,12,21.032364687745126,1.752697057312094,-0.013986013986013988,-0.030303030303030304,0,1
full_minus_age,4,29,15,28.301538183967452,1.8867692122644968,-0.37499999999999994,-0.2571428571428572,0,1
full_minus_age,5,8,13,22.120684716126032,1.7015911320096948,0.07142857142857142,0.05128205128205128,0,1
full_minus_age,5,16,12,19.498579580042136,1.624881631670178,0.5104895104895106,0.3939393939393939,1,1
full_minus_age,5,22,12,21.118907095643667,1.7599089246369723,-0.2027972027972028,-0.12121212121212122,0,0
full_minus_age,5,23,13,21.930689155200415,1.6869760888615704,0.2692307692307692,0.1794871794871795,0,1
full_minus_age,5,32,14,24.81616870794698,1.77258347913907,0.18241758241758244,0.12087912087912088,0,0
full_minus_age,5,33,13,22.149296439482477,1.7037920338063444,0.1652898833951726,0.12988108336653278,0,0
full_minus_industry,1,3,11,17.136653195541495,1.557877563231045,0.3181818181818182,0.2,0,1
